vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-19.9806,10.0111,9.66296,73,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
3.91082,-15.0526,6.35474,3149,-25,-25,7,-25,25,5,25,-25,5,25,25,7
10.4486,-0.650112,9.74332,2005,-25,-25,2,-25,25,2,25,-25,4,25,25,5
-0.990643,-1.08873,-2.21208,13240,-25,-25,22,-25,25,20,25,-25,21,25,25,11
-18.9546,-2.54792,-1.41103,183917,-25,-25,434,-25,25,358,25,-25,230,25,25,215
2.1651,13.6832,1.58016,103,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.84034,-2.02864,8.88487,47161,-25,-25,63,-25,25,63,25,-25,78,25,25,78
-0.255312,4.13804,-6.68829,122,-99.9,-99.9,-1,-25,25,2,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.9722,-10.8864,-3.53098,191337,-25,-25,404,-25,25,296,25,-25,369,25,25,279
-6.05149,16.7759,-5.69042,1978,-25,-25,1,-25,25,5,25,-25,3,25,25,2
16.9752,-18.6032,-2.38723,172995,-25,-25,263,-25,25,214,25,-25,486,25,25,298
19.2144,-13.7484,8.73611,148,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-4.48616,18.6292,0.30287,211,-99.9,-99.9,-1,-25,25,1,25,-25,1,25,25,1
-5.77577,15.7115,-4.07135,146299,-25,-25,194,-25,25,526,25,-25,135,25,25,225
14.3537,-6.21202,-1.03091,64,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.4805,-13.315,-2.87323,42505,-25,-25,57,-25,25,46,25,-25,140,25,25,55
2.32059,13.4635,7.43115,80650,-25,-25,109,-25,25,174,25,-25,117,25,25,184
21.0435,6.05355,-2.20587,1308,-25,-25,3,-25,25,2,25,-25,3,25,25,4
-2.45783,20.2602,-2.78256,46081,-25,-25,52,-25,25,106,25,-25,51,25,25,98
-20.1333,7.70222,-4.6854,47822,-25,-25,102,-25,25,135,25,-25,48,25,25,54
2.46447,-0.887307,-2.12146,236313,-25,-25,415,-25,25,303,25,-25,461,25,25,416
-1.38178,-6.99706,8.18307,65535,-25,-25,136,-25,25,101,25,-25,121,25,25,88
20.5188,2.60744,6.54252,179,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-6.31718,-14.6677,0.102867,392,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,2
-2.96627,8.84968,1.45778,531,-99.9,-99.9,-1,-25,25,1,25,-25,1,-99.9,-99.9,-1
-6.46647,9.73391,8.01074,78,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
0.245683,-19.5818,5.1428,22617,-25,-25,45,-25,25,31,25,-25,45,25,25,26
-10.1583,-7.44102,-8.46497,46435,-25,-25,105,-25,25,82,25,-25,79,25,25,47
-15.4344,21.5039,-3.78588,122,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.5867,-12.703,3.09184,114,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-4.27403,-19.5193,-5.32433,125,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.981,3.15968,-7.69076,27,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
21.3887,10.2628,-7.98544,77616,-25,-25,75,-25,25,94,25,-25,123,25,25,285
-20.5929,-17.813,-6.31216,242707,-25,-25,632,-25,25,578,25,-25,287,25,25,264
-9.35518,-2.55027,-4.88597,104689,-25,-25,212,-25,25,245,25,-25,135,25,25,171
11.2311,15.4419,-8.46194,93,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
20.8337,8.03705,-5.12284,5634,-25,-25,12,-25,25,6,25,-25,5,25,25,11
-1.08081,-17.9701,-4.80039,78216,-25,-25,151,-25,25,105,25,-25,185,25,25,92
21.1096,-9.68178,-5.60352,326708,-25,-25,405,-25,25,352,25,-25,1298,25,25,522
14.5918,-17.3902,6.22465,17748,-25,-25,20,-25,25,16,25,-25,56,25,25,25
-14.8785,-19.6428,5.24596,109,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.8369,-4.12233,4.58348,85858,-25,-25,109,-25,25,109,25,-25,216,25,25,140
18.2825,14.0048,2.95364,134799,-25,-25,157,-25,25,189,25,-25,194,25,25,492
18.4755,15.3076,8.61434,84,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-7.6705,-13.8009,-7.43801,71385,-25,-25,233,-25,25,76,25,-25,96,25,25,75
-15.923,-1.51795,-1.3514,12600,-25,-25,25,-25,25,22,25,-25,12,25,25,14
-21.5858,19.521,-6.34782,176038,-25,-25,235,-25,25,976,25,-25,145,25,25,227
17.8147,-4.35792,8.31739,36287,-25,-25,46,-25,25,36,25,-25,106,25,25,66
-18.8104,-18.3816,7.89186,303,-25,-25,1,-25,25,1,-99.9,-99.9,-1,25,25,1
20.6759,-10.174,2.31437,11970,-25,-25,9,-25,25,14,25,-25,33,25,25,20
-6.78939,-18.3533,-0.357233,21477,-25,-25,33,-25,25,32,25,-25,19,25,25,28
4.13932,10.8992,2.11603,64,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-5.41852,10.3295,5.32552,6130,-25,-25,8,-25,25,11,25,-25,4,25,25,6
-8.50208,5.8861,-8.85616,2212,-25,-25,6,-25,25,7,25,-25,2,25,25,3
-3.69834,1.97593,-5.65137,29,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.50735,10.5736,-7.70701,116476,-25,-25,170,-25,25,274,25,-25,130,25,25,233
8.01544,8.41598,-6.89585,18333,-25,-25,28,-25,25,25,25,-25,27,25,25,57
9.24873,9.84001,1.6728,193532,-25,-25,283,-25,25,411,25,-25,282,25,25,366
5.02055,-13.7576,-7.5526,5921,-25,-25,6,-25,25,15,25,-25,21,25,25,8
-20.8308,5.91711,-4.69928,8811,-25,-25,12,-25,25,26,25,-25,11,25,25,7
-2.16754,-15.8377,0.118147,81,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.92199,6.17433,8.28861,7459,-25,-25,6,-25,25,16,25,-25,12,25,25,19
-3.81045,1.84505,3.36155,17556,-25,-25,26,-25,25,27,25,-25,22,25,25,19
7.00911,-6.29778,7.14595,48,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
18.1836,-16.6843,7.18693,17018,-25,-25,27,-25,25,13,25,-25,54,25,25,19
10.7821,16.7241,-0.774081,130,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
2.16883,14.6255,6.97852,81,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-9.97298,21.5371,3.92372,24179,-25,-25,33,-25,25,79,25,-25,20,25,25,40
15.9916,-21.041,-3.87981,10061,-25,-25,11,-25,25,9,25,-25,45,25,25,12
-19.7534,1.45563,-4.42723,6814,-25,-25,9,-25,25,18,25,-25,7,25,25,9
-9.67891,3.32825,1.27137,105905,-25,-25,185,-25,25,246,25,-25,153,25,25,185
6.61969,8.36857,7.90599,75,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.0593,17.9117,8.15934,59569,-25,-25,84,-25,25,156,25,-25,51,25,25,72
-15.096,-5.09929,8.26816,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.1009,9.12986,-3.81022,65962,-25,-25,76,-25,25,128,25,-25,91,25,25,134
21.8718,-20.3081,3.34302,66364,-25,-25,85,-25,25,77,25,-25,549,25,25,83
-4.38496,15.0003,-2.61756,61,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.10905,-21.4282,4.96452,18943,-25,-25,13,-25,25,22,25,-25,30,25,25,33
11.9446,17.0598,-0.896491,20950,-25,-25,28,-25,25,20,25,-25,38,25,25,40
13.0665,-8.24255,-9.55917,10865,-25,-25,12,-25,25,13,25,-25,29,25,25,22
-16.3367,9.75255,0.518088,83,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
5.7374,11.7727,-5.39291,26572,-25,-25,26,-25,25,42,25,-25,28,25,25,53
3.11573,0.481134,3.64102,2262,-25,-25,3,-25,25,1,25,-25,8,25,25,5
20.8756,-10.0896,6.50919,178,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
1.1368,4.64979,-9.86241,1296,-25,-25,7,-25,25,2,25,-25,2,25,25,1
17.1944,-6.55016,-6.28949,119,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
7.63389,21.48,9.59794,1949,-25,-25,1,-25,25,5,25,-25,3,25,25,7
13.4968,-6.46883,5.01822,13432,-25,-25,18,-25,25,10,25,-25,30,25,25,24
-18.3639,0.467079,0.104608,6781,-25,-25,16,-25,25,12,25,-25,6,25,25,9
3.04466,-21.5262,7.9837,150,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,25,25,1
0.393608,-9.0108,2.59313,30096,-25,-25,61,-25,25,45,25,-25,67,25,25,38
13.0388,5.81745,-5.33729,222633,-25,-25,227,-25,25,245,25,-25,413,25,25,587
12.0858,18.9852,2.60691,246,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,25,25,3
-17.902,19.0226,3.48485,93240,-25,-25,129,-25,25,305,25,-25,97,25,25,135
5.5355,-13.9419,-5.92351,17,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.80688,3.29137,-4.67285,50,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
21.3699,16.6456,2.65302,76858,-25,-25,80,-25,25,105,25,-25,130,25,25,256
-5.80074,-4.72543,4.81929,278883,-25,-25,516,-25,25,477,25,-25,399,25,25,494
13.8135,-2.90645,-4.14942,32,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.3813,4.55861,1.97236,72319,-25,-25,83,-25,25,98,25,-25,156,25,25,165
-8.01406,9.31198,-4.18734,5428,-25,-25,8,-25,25,14,25,-25,3,25,25,6
-8.59072,5.25338,-1.65698,8159,-25,-25,15,-25,25,13,25,-25,16,25,25,10
-13.1752,-9.78029,-7.64816,120,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
4.85967,-4.88729,-9.94327,102206,-25,-25,124,-25,25,121,25,-25,235,25,25,192
-8.90693,-6.2707,-0.234143,99,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.80355,21.9042,-9.39678,7904,-25,-25,8,-25,25,16,25,-25,10,25,25,19
5.61989,16.7326,9.11639,28611,-25,-25,39,-25,25,41,25,-25,42,25,25,78
-12.4399,-9.56032,-9.2558,5361,-25,-25,13,-25,25,6,25,-25,2,25,25,6
12.0935,-10.9162,-8.23402,28374,-25,-25,44,-25,25,32,25,-25,77,25,25,51
-11.043,-2.31902,1.91929,61066,-25,-25,145,-25,25,126,25,-25,92,25,25,96
14.5879,-20.0759,-9.72393,123,-25,-25,1,-99.9,-99.9,-1,25,-25,2,-99.9,-99.9,-1
-0.433897,-3.55001,5.35747,92,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.2326,15.5954,7.68574,6707,-25,-25,13,-25,25,15,25,-25,9,25,25,13
6.6523,-8.74679,5.86158,16156,-25,-25,41,-25,25,35,25,-25,33,25,25,16
5.05558,10.3838,-9.16151,178,-99.9,-99.9,-1,-25,25,1,25,-25,1,-99.9,-99.9,-1
2.49227,-1.48737,-3.09202,57664,-25,-25,102,-25,25,98,25,-25,98,25,25,69
-6.19437,6.04945,3.45957,47050,-25,-25,74,-25,25,109,25,-25,54,25,25,76
17.2129,12.9529,-3.73425,38135,-25,-25,40,-25,25,38,25,-25,56,25,25,135
-4.53692,-9.84853,7.15795,6663,-25,-25,11,-25,25,5,25,-25,11,25,25,7
-9.19716,-2.37288,-0.948255,7288,-25,-25,13,-25,25,13,25,-25,13,25,25,13
-8.08642,13.9253,-1.89454,47372,-25,-25,68,-25,25,142,25,-25,55,25,25,86
7.71749,7.06659,4.87491,85449,-25,-25,123,-25,25,152,25,-25,146,25,25,195
11.6263,14.6561,1.81543,32747,-25,-25,32,-25,25,48,25,-25,36,25,25,85
-18.3522,4.57942,4.68231,88,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.2974,-10.4062,8.36926,11858,-25,-25,13,-25,25,6,25,-25,33,25,25,16
11.0834,13.4824,6.32493,98558,-25,-25,105,-25,25,147,25,-25,149,25,25,295
1.57308,11.7911,-5.0331,8794,-25,-25,9,-25,25,17,25,-25,11,25,25,16
-15.396,-12.4234,-2.15394,64198,-25,-25,290,-25,25,105,25,-25,81,25,25,64
-17.2314,10.9692,-2.77509,106952,-25,-25,169,-25,25,308,25,-25,116,25,25,136
13.2299,1.51494,0.334713,108,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
-6.4919,13.1069,-8.04313,41,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.9575,13.7928,8.16185,254,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.8066,5.5387,-1.94686,100477,-25,-25,177,-25,25,218,25,-25,162,25,25,141
19.4423,18.2256,5.81974,141816,-25,-25,155,-25,25,177,25,-25,207,25,25,556
1.86183,20.2766,-2.37318,17782,-25,-25,17,-25,25,35,25,-25,25,25,25,49
8.55606,-9.2913,-6.89677,152446,-25,-25,249,-25,25,163,25,-25,467,25,25,212
12.9955,-5.194,6.72589,22848,-25,-25,65,-25,25,51,25,-25,24,25,25,23
5.49328,17.0467,-5.66227,9848,-25,-25,12,-25,25,18,25,-25,8,25,25,29
15.9141,-13.9939,-4.12118,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.76949,3.64144,-6.9169,9373,-25,-25,17,-25,25,28,25,-25,10,25,25,17
15.3362,2.57953,-5.04294,157542,-25,-25,216,-25,25,249,25,-25,277,25,25,313
-19.5079,3.56364,7.7897,16008,-25,-25,41,-25,25,41,25,-25,17,25,25,15
-6.51063,-10.9552,3.92252,13667,-25,-25,37,-25,25,12,25,-25,26,25,25,17
9.57812,14.8819,8.52814,5573,-25,-25,9,-25,25,13,25,-25,5,25,25,19
-19.8011,-14.111,9.97508,4735,-25,-25,13,-25,25,12,25,-25,6,25,25,6
-16.0898,17.1144,4.70543,22509,-25,-25,39,-25,25,72,25,-25,23,25,25,31
-21.3412,9.56934,3.72761,187401,-25,-25,321,-25,25,622,25,-25,204,25,25,251
-19.3263,7.7104,8.30025,44,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.4647,15.4905,4.45983,1947,-25,-25,1,-25,25,9,25,-25,2,25,25,3
-0.88789,-21.1648,9.1132,93,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
9.0905,13.1066,5.73979,3413,-25,-25,3,-25,25,8,25,-25,6,25,25,6
2.89546,-12.8677,6.18788,32909,-25,-25,68,-25,25,43,25,-25,81,25,25,43
-19.0375,-14.7227,7.31781,45602,-25,-25,159,-25,25,67,25,-25,61,25,25,50
16.7588,-10.5746,4.85117,45,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
7.19305,-5.2178,1.24689,8013,-25,-25,10,-25,25,11,25,-25,17,25,25,20
-16.1129,-9.67419,8.43376,5331,-25,-25,12,-25,25,9,25,-25,9,25,25,6
9.69865,-13.1051,-5.36382,16050,-25,-25,30,-25,25,21,25,-25,56,25,25,28
1.53091,9.10612,0.868247,100254,-25,-25,124,-25,25,176,25,-25,149,25,25,244
2.11097,3.56383,4.45466,21890,-25,-25,34,-25,25,40,25,-25,43,25,25,47
-6.55532,21.7211,-3.53899,75,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.89001,-16.5229,9.77734,1731,-25,-25,3,-25,25,4,25,-25,5,25,25,2
2.21121,2.98886,9.43363,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.3379,15.4498,-1.29613,142175,-25,-25,211,-25,25,465,25,-25,165,25,25,203
1.8923,-13.7055,2.28354,166015,-25,-25,341,-25,25,226,25,-25,366,25,25,218
11.5558,-10.1159,0.133775,35854,-25,-25,52,-25,25,49,25,-25,106,25,25,53
14.604,1.26202,-8.52897,97346,-25,-25,127,-25,25,122,25,-25,169,25,25,206
3.04582,-9.89184,6.36331,64,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.90019,7.24071,-2.67729,919,-25,-25,2,-25,25,2,25,-25,1,25,25,2
-3.08483,17.0287,-6.00595,117,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.3303,-7.00977,9.56101,464,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,2,25,25,1
20.5312,-4.89232,9.67434,336,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,25,25,1
-14.3325,-21.589,6.50269,40,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.7645,15.8292,2.35678,24934,-25,-25,27,-25,25,42,25,-25,35,25,25,81
-3.22291,-2.75646,7.5194,10209,-25,-25,18,-25,25,15,25,-25,18,25,25,13
-18.3269,-10.1633,-6.60286,32540,-25,-25,102,-25,25,55,25,-25,44,25,25,48
-4.01042,-8.4285,-2.70219,5084,-25,-25,11,-25,25,8,25,-25,9,25,25,9
-11.5661,-4.9902,6.11531,135760,-25,-25,342,-25,25,243,25,-25,229,25,25,148
-20.8798,-11.2502,-0.859567,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.863079,7.71967,-9.38464,46378,-25,-25,84,-25,25,68,25,-25,78,25,25,83
13.1165,15.9796,2.21541,108,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.8142,-4.98211,-0.296148,11071,-25,-25,27,-25,25,14,25,-25,10,25,25,10
-5.00252,-3.18817,0.120995,91,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.62961,-0.065668,4.54751,88010,-25,-25,165,-25,25,170,25,-25,137,25,25,125
-3.89052,3.53838,3.48556,105,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.44742,11.7677,-7.51297,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-12.4459,-21.3858,8.19142,13279,-25,-25,46,-25,25,23,25,-25,21,25,25,14
-19.1624,-7.32097,9.37085,100,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.0287,8.7371,0.329285,68849,-25,-25,107,-25,25,106,25,-25,127,25,25,172
-6.95024,-7.66656,-5.75751,137629,-25,-25,314,-25,25,229,25,-25,206,25,25,198
-13.592,16.691,8.84651,39790,-25,-25,67,-25,25,123,25,-25,52,25,25,55
6.62721,4.92068,4.4587,116955,-25,-25,157,-25,25,189,25,-25,204,25,25,233
4.01555,-15.1291,5.79736,19966,-25,-25,34,-25,25,25,25,-25,59,25,25,28
-10.0258,-21.7045,7.3074,39928,-25,-25,136,-25,25,49,25,-25,77,25,25,37
20.3263,-4.92651,4.10242,65,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
11.162,-9.26782,8.72878,35525,-25,-25,62,-25,25,37,25,-25,103,25,25,71
16.1723,20.0187,2.77307,19337,-25,-25,14,-25,25,25,25,-25,18,25,25,69
1.69401,-19.9928,2.71883,11412,-25,-25,22,-25,25,13,25,-25,26,25,25,9
16.3521,-14.1238,-2.53702,77,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
1.25027,-16.7848,-8.57005,8403,-25,-25,14,-25,25,15,25,-25,24,25,25,12
7.34971,21.9776,-7.9727,149483,-25,-25,193,-25,25,286,25,-25,194,25,25,375
18.7183,19.7566,3.09604,63,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.3419,0.0112229,9.07534,5672,-25,-25,13,-25,25,11,25,-25,6,25,25,8
-16.3908,21.6997,-9.73286,15253,-25,-25,16,-25,25,88,25,-25,15,25,25,24
20.0637,-5.65816,7.17783,101,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.6991,8.10784,8.58706,9,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.65874,1.57838,5.80237,7622,-25,-25,14,-25,25,11,25,-25,11,25,25,12
-2.68487,-20.1398,-5.12837,142014,-25,-25,266,-25,25,165,25,-25,320,25,25,228
18.2919,14.076,7.66849,64,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.1453,9.12911,-0.817133,86,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-3.81991,-4.87176,-7.26578,59858,-25,-25,107,-25,25,94,25,-25,100,25,25,75
1.66174,20.2301,0.607345,124201,-25,-25,153,-25,25,354,25,-25,142,25,25,237
15.1939,-5.29238,-9.63028,478219,-25,-25,490,-25,25,402,25,-25,1925,25,25,588
19.6994,2.57284,7.39537,52796,-25,-25,92,-25,25,64,25,-25,115,25,25,105
13.2445,0.743502,-2.29569,197345,-25,-25,251,-25,25,266,25,-25,407,25,25,472
-15.6707,-15.3495,-0.468107,146,-25,-25,3,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
6.36613,-1.30708,-0.647446,210,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-11.9582,-14.0477,6.90007,18181,-25,-25,57,-25,25,30,25,-25,34,25,25,20
1.61501,10.4147,-8.35612,117,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
13.5986,9.96922,-5.37756,65,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
-1.18066,10.7319,0.483305,37161,-25,-25,60,-25,25,91,25,-25,50,25,25,78
19.0045,3.86104,-5.54578,82761,-25,-25,107,-25,25,115,25,-25,204,25,25,178
-7.49256,-15.258,1.77343,2385,-25,-25,8,-25,25,5,25,-25,8,25,25,4
-21.04,-15.6225,4.68379,62524,-25,-25,264,-25,25,89,25,-25,74,25,25,74
10.5242,-2.905,9.75818,198,-99.9,-99.9,-1,-25,25,1,25,-25,1,-99.9,-99.9,-1
9.62183,2.93721,8.48314,28081,-25,-25,35,-25,25,48,25,-25,57,25,25,79
-0.701955,-18.0672,-9.9916,151369,-25,-25,278,-25,25,179,25,-25,392,25,25,222
-9.24888,-6.76917,-3.60311,212974,-25,-25,376,-25,25,385,25,-25,301,25,25,347
6.94056,-16.617,-7.85468,75074,-25,-25,149,-25,25,88,25,-25,208,25,25,105
4.81738,-9.45367,5.0654,211071,-25,-25,355,-25,25,259,25,-25,474,25,25,321
20.2505,8.53029,1.35342,92196,-25,-25,126,-25,25,135,25,-25,146,25,25,257
-3.43663,15.3821,-6.45584,57,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.6948,-3.03201,-6.64944,8395,-25,-25,16,-25,25,14,25,-25,8,25,25,14
-1.76275,-12.9487,-3.64702,21256,-25,-25,38,-25,25,36,25,-25,48,25,25,34
-11.8924,6.70924,-7.63972,239,-25,-25,3,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.3402,13.9458,-0.131519,13113,-25,-25,9,-25,25,25,25,-25,20,25,25,32
15.7027,-21.7284,3.79493,58,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.9053,-21.4932,0.467034,23945,-25,-25,157,-25,25,32,25,-25,26,25,25,19
14.285,-0.986979,5.68766,2654,-25,-25,2,-99.9,-99.9,-1,25,-25,4,25,25,3
15.6917,18.186,4.58577,182226,-25,-25,216,-25,25,284,25,-25,278,25,25,553
4.15294,17.1164,-3.18182,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
10.0322,-8.47879,7.00817,13350,-25,-25,17,-25,25,19,25,-25,39,25,25,21
-5.89979,9.00921,4.72301,71,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.2922,0.966044,4.30162,103752,-25,-25,222,-25,25,237,25,-25,122,25,25,129
-19.0923,-8.99633,3.98598,86,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
9.25537,18.6209,2.6264,98047,-25,-25,105,-25,25,171,25,-25,126,25,25,308
-0.947865,21.0531,-5.20075,79,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.5192,14.6423,-7.90081,25399,-25,-25,37,-25,25,83,25,-25,25,25,25,32
-4.35159,11.5742,4.94782,30127,-25,-25,32,-25,25,58,25,-25,53,25,25,50
9.63641,19.0221,0.521826,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.22791,-10.5541,7.79588,50,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-16.2037,-1.6328,3.49817,305947,-25,-25,756,-25,25,491,25,-25,550,25,25,359
2.96256,-8.51703,5.44632,15764,-25,-25,21,-25,25,19,25,-25,41,25,25,26
5.66256,21.8709,-7.26798,6564,-25,-25,6,-25,25,11,25,-25,6,25,25,18
7.65243,9.71049,-6.16676,1517,-25,-25,1,-25,25,3,25,-25,2,25,25,2
-4.02659,-20.3427,-0.453638,28294,-25,-25,65,-25,25,28,25,-25,56,25,25,33
10.8746,-5.3223,4.1994,26215,-25,-25,44,-25,25,39,25,-25,67,25,25,36
-7.601,-11.8348,7.74381,369,-25,-25,3,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.6759,-2.19981,-7.66431,110005,-25,-25,337,-25,25,184,25,-25,163,25,25,118
13.375,-20.0553,-5.89501,30,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.45569,0.430503,1.24769,70598,-25,-25,163,-25,25,129,25,-25,107,25,25,107
