vx,vy,vz,sci_photons,xpos0,ypos0,photons0,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3
-11.3775,-18.1053,-6.40346,6686,-25,-25,10,-25,25,11,25,-25,10,25,25,5
13.7411,0.239511,6.41174,20043,-25,-25,36,-25,25,23,25,-25,33,25,25,40
-17.5075,17.2454,0.990943,260543,-25,-25,367,-25,25,826,25,-25,304,25,25,420
7.68314,1.29917,2.987,109,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.62827,-21.9899,2.85988,149,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.8222,19.1964,-4.70439,7778,-25,-25,15,-25,25,32,25,-25,14,25,25,4
11.4676,-4.70665,-7.0922,155570,-25,-25,239,-25,25,175,25,-25,399,25,25,229
-19.9741,-9.01073,3.96671,22972,-25,-25,59,-25,25,28,25,-25,27,25,25,23
-14.5027,11.5964,-4.32132,1845,-25,-25,5,-25,25,4,25,-25,1,25,25,2
6.04981,-7.5837,-0.705212,74501,-25,-25,119,-25,25,109,25,-25,161,25,25,117
13.2054,-18.8595,6.64096,17291,-25,-25,33,-25,25,12,25,-25,59,25,25,16
17.8832,-4.86116,-0.141451,5224,-25,-25,10,-25,25,4,25,-25,13,25,25,14
18.8053,-9.32297,3.08004,1714,-25,-25,2,-25,25,1,25,-25,7,25,25,6
16.3516,20.8703,3.22528,13129,-25,-25,14,-25,25,16,25,-25,14,25,25,65
11.6327,-11.9473,8.66274,124013,-25,-25,126,-25,25,344,25,-25,176,25,25,142
15.9388,-11.3593,-3.0095,59753,-25,-25,82,-25,25,68,25,-25,162,25,25,89
-21.4638,-17.2726,-3.34079,193158,-25,-25,1185,-25,25,237,25,-25,284,25,25,188
11.8368,8.60742,-5.1367,17084,-25,-25,20,-25,25,23,25,-25,27,25,25,47
-15.0734,-7.6175,-3.97562,90939,-25,-25,228,-25,25,188,25,-25,122,25,25,109
5.78872,19.6793,-1.55361,78,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.83367,-7.56692,-9.28277,84143,-25,-25,156,-25,25,143,25,-25,158,25,25,121
14.6278,1.27736,-8.85176,26104,-25,-25,37,-25,25,31,25,-25,58,25,25,68
13.2992,16.4808,4.69893,266516,-25,-25,242,-25,25,371,25,-25,386,25,25,1146
0.21657,0.450587,2.31644,123,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-5.09663,-14.6006,8.31253,7577,-25,-25,13,-25,25,11,25,-25,14,25,25,6
-18.1706,15.3456,7.19598,58,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.8119,9.20529,-2.28183,42774,-25,-25,55,-25,25,130,25,-25,45,25,25,51
2.50321,6.00895,-9.53368,1786,-25,-25,3,-25,25,1,25,-25,1,25,25,10
8.3433,13.1405,9.19549,118,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
12.5253,-5.04677,9.44363,9478,-25,-25,17,-25,25,12,25,-25,18,25,25,17
-14.1363,10.9172,-1.77343,103,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,2,-99.9,-99.9,-1
-3.18156,-7.53198,5.05533,40474,-25,-25,91,-25,25,52,25,-25,74,25,25,56
17.4612,-6.64064,8.22715,199,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
-17.1145,16.8522,-6.57073,16832,-25,-25,27,-25,25,73,25,-25,18,25,25,19
11.0396,-19.9444,-1.31373,120,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.1632,-16.4837,5.29576,234566,-25,-25,766,-25,25,318,25,-25,402,25,25,265
-17.6536,14.0418,-3.00526,739,-99.9,-99.9,-1,-25,25,3,25,-25,3,-99.9,-99.9,-1
2.66667,12.4707,9.02474,80297,-25,-25,105,-25,25,156,25,-25,115,25,25,224
-0.202888,-6.10307,-7.89688,87,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
-1.35823,-11.3766,-6.96472,8269,-25,-25,15,-25,25,16,25,-25,14,25,25,22
2.20179,-21.9488,-0.65335,21102,-25,-25,36,-25,25,21,25,-25,59,25,25,27
13.3429,-1.52894,2.55544,691,-25,-25,1,-25,25,1,25,-25,1,25,25,2
-15.7386,-21.0059,1.95229,6813,-25,-25,29,-25,25,9,25,-25,5,25,25,5
-12.5776,5.71667,8.88253,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-19.7294,-2.43936,7.35405,120,-99.9,-99.9,-1,-25,25,1,25,-25,1,25,25,1
20.3422,-3.75922,9.24123,123,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.295,-1.15221,-1.28498,58,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.7762,-19.6122,-2.68183,39891,-25,-25,170,-25,25,44,25,-25,33,25,25,37
17.4187,-15.5029,9.71788,16608,-25,-25,15,-25,25,17,25,-25,59,25,25,20
15.2854,4.70872,5.56326,30379,-25,-25,43,-25,25,47,25,-25,48,25,25,78
-7.47328,21.9179,-1.53866,58,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.3953,21.6732,-9.76078,36308,-25,-25,49,-25,25,51,25,-25,40,25,25,190
5.82619,18.6763,0.073888,258,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,25,25,1
20.2005,9.73704,-7.95907,32,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
10.1532,10.6461,1.99449,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
3.14095,2.16282,-1.93163,64,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.7816,-20.4343,7.36306,23761,-25,-25,73,-25,25,25,25,-25,34,25,25,26
-8.13934,3.52722,-0.455141,50620,-25,-25,85,-25,25,115,25,-25,53,25,25,65
14.2056,8.74583,0.768907,221,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
9.18797,-20.3706,-1.22744,992,-25,-25,2,-25,25,1,25,-25,2,25,25,1
9.91867,-12.3779,6.51041,58,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,-99.9,-99.9,-1
17.7608,-10.4665,-1.11934,10548,-25,-25,18,-25,25,12,25,-25,30,25,25,16
-6.8868,18.9429,6.21895,125021,-25,-25,178,-25,25,371,25,-25,142,25,25,200
-4.5167,-17.1547,-9.83443,93334,-25,-25,278,-25,25,126,25,-25,164,25,25,104
0.0542075,-9.76419,9.57241,110,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
16.9233,17.8557,-2.67958,25196,-25,-25,18,-25,25,45,25,-25,27,25,25,133
18.5141,8.75708,-5.66194,164683,-25,-25,171,-25,25,217,25,-25,219,25,25,702
7.6679,3.50739,-4.24017,80264,-25,-25,119,-25,25,122,25,-25,141,25,25,128
-19.065,-3.63611,-3.08879,49211,-25,-25,104,-25,25,105,25,-25,61,25,25,51
14.4627,19.1325,1.40446,179,-99.9,-99.9,-1,-99.9,-99.9,-1,25,-25,1,25,25,1
9.17842,-0.781082,-4.59775,2606,-25,-25,4,-99.9,-99.9,-1,25,-25,5,25,25,4
-16.0609,12.1154,-5.25493,45223,-25,-25,144,-25,25,59,25,-25,69,25,25,63
-14.5967,-13.6744,6.02483,15736,-25,-25,48,-25,25,21,25,-25,24,25,25,19
1.94321,-7.08315,9.96872,70,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.903,12.7675,-7.08846,10153,-25,-25,10,-25,25,52,25,-25,10,25,25,21
8.68378,-19.5051,-1.40894,19596,-25,-25,37,-25,25,19,25,-25,67,25,25,30
2.83733,-21.3187,-2.09473,2561,-25,-25,5,-25,25,4,25,-25,10,25,25,3
11.963,19.6482,4.46183,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
15.822,18.9491,4.31164,10430,-25,-25,20,-25,25,18,25,-25,12,25,25,47
-16.1616,8.70504,-4.06607,227,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
14.9667,-21.6586,-2.78015,59228,-25,-25,115,-25,25,59,25,-25,242,25,25,70
9.80161,1.11367,-6.34977,103,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-12.8073,1.43597,4.30984,0,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
1.49864,-19.2835,8.10901,11653,-25,-25,27,-25,25,10,25,-25,31,25,25,18
-17.4018,-5.25991,5.64691,29529,-25,-25,59,-25,25,65,25,-25,37,25,25,40
-15.9236,-18.4574,7.89075,46,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1,-99.9,-99.9,-1
-1.53093,17.6931,2.08724,202586,-25,-25,260,-25,25,494,25,-25,244,25,25,429
-6.08718,14.5706,9.67886,2199,-25,-25,1,-25,25,11,-99.9,-99.9,-1,25,25,3
11.1872,6.44399,2.23814,26953,-25,-25,38,-25,25,43,25,-25,45,25,25,59
5.68942,-3.39718,2.07206,182,-25,-25,1,-25,25,2,-99.9,-99.9,-1,-99.9,-99.9,-1
-1.52106,7.26177,-7.4593,100,-25,-25,1,-99.9,-99.9,-1,-99.9,-99.9,-1,25,25,1
3.27718,-9.68567,-5.80323,111140,-25,-25,229,-25,25,137,25,-25,211,25,25,158
17.5563,7.49331,-2.24258,116,-99.9,-99.9,-1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.29509,-10.7342,6.97265,82681,-25,-25,212,-25,25,115,25,-25,130,25,25,95
-15.6414,-1.54997,-5.29543,120,-25,-25,1,-25,25,1,-99.9,-99.9,-1,-99.9,-99.9,-1
