vx,vy,vz,xpos1,ypos1,photons1,xpos2,ypos2,photons2,xpos3,ypos3,photons3,xpos4,ypos4,photons4
-14.7171,11.9184,5.8371,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.1044,17.302,-4.38281,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.95473,1.69648,-4.24468,-25,0,17,25,0,19
8.36305,-0.615643,-3.53339,-25,0,19,25,0,29
13.4375,-3.59492,1.29379,-99.9,-99.9,-1,25,0,2
17.0519,-3.78337,4.6094,-25,0,22,25,0,45
-1.81108,13.9252,8.49787,-25,0,4,25,0,2
-7.37631,13.3995,1.08709,-99.9,-99.9,-1,-99.9,-99.9,-1
-21.3075,0.456076,-4.43824,-99.9,-99.9,-1,-99.9,-99.9,-1
-17.2423,1.11366,3.59459,-99.9,-99.9,-1,-99.9,-99.9,-1
15.7578,-7.36024,6.19249,-25,0,4,25,0,4
21.0916,23.0952,-7.30966,-99.9,-99.9,-1,-99.9,-99.9,-1
-5.03956,9.38779,8.32604,-99.9,-99.9,-1,-99.9,-99.9,-1
9.65855,19.9346,8.43225,-99.9,-99.9,-1,-99.9,-99.9,-1
4.96255,-17.1088,-0.491781,-99.9,-99.9,-1,-99.9,-99.9,-1
-22.7148,-19.4062,-7.80906,-25,0,45,25,0,30
23.2138,-14.4558,-1.24191,-99.9,-99.9,-1,-99.9,-99.9,-1
21.1521,-7.75388,4.37,-25,0,7,25,0,10
19.9861,-9.56272,-3.75208,-99.9,-99.9,-1,-99.9,-99.9,-1
18.3874,-22.9269,-5.91921,-99.9,-99.9,-1,25,0,1
15.512,3.09872,-9.00229,-25,0,1,-99.9,-99.9,-1
-22.7038,-23.9768,-2.26622,-99.9,-99.9,-1,25,0,2
9.72891,-9.15594,6.23674,-99.9,-99.9,-1,-99.9,-99.9,-1
15.7639,21.3363,-9.98598,-99.9,-99.9,-1,-99.9,-99.9,-1
10.9536,-10.4269,-0.970608,-25,0,21,25,0,5
-21.3436,7.60709,-9.18458,-25,0,4,-99.9,-99.9,-1
-1.05152,15.9484,4.76933,-99.9,-99.9,-1,25,0,1
4.26796,-5.05597,-2.54344,-25,0,11,25,0,10
-4.09013,-10.7313,-7.2389,-25,0,55,25,0,46
-14.4175,2.9104,1.96542,-25,0,45,25,0,18
19.4679,-24.6017,2.99665,-25,0,12,25,0,18
-21.1498,-4.67151,-8.33298,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.45768,-12.5199,7.7144,-25,0,2,25,0,2
18.6987,-2.11771,-5.02968,-25,0,2,25,0,8
-18.3248,4.51604,9.11784,-25,0,1,-99.9,-99.9,-1
13.5351,4.83462,-7.0793,-99.9,-99.9,-1,25,0,1
22.0612,18.6172,-8.63468,-25,0,2,-99.9,-99.9,-1
-3.85974,-6.1583,6.58153,-99.9,-99.9,-1,-99.9,-99.9,-1
12.8719,0.430886,-1.54916,-25,0,13,25,0,21
16.7068,-16.8879,-2.6547,-99.9,-99.9,-1,-99.9,-99.9,-1
14.8748,8.22826,-7.31029,-99.9,-99.9,-1,-99.9,-99.9,-1
-18.0333,-21.5516,-6.78748,-25,0,2,25,0,1
-4.29721,-22.3748,7.23825,-99.9,-99.9,-1,-99.9,-99.9,-1
15.136,-9.841,0.878368,-99.9,-99.9,-1,-99.9,-99.9,-1
-0.171084,8.07912,7.56132,-25,0,4,25,0,3
19.7019,-12.8294,3.33477,-25,0,13,25,0,26
